,zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount,response,coverage,effective to date,employmentstatus,location code,marital status,months since last claim,months since policy inception,number of policies,policy,renew offer type,sales channel,vehicle size,vehicle type
622,north west,m,college,10592.59,59590.0,136.0,0,personal auto,suv,460.27,no,extended,1/9/11,employed,urban,divorced,15.0,67.0,5.0,personal l1,offer1,branch,small,a
623,west region,f,high school or below,2175.62,38144.0,63.0,0,personal auto,four-door car,453.6,no,basic,2/1/11,unemployed,suburban,single,5.0,79.0,1.0,personal l3,offer2,branch,medsize,
624,west region,m,bachelor,5640.73,67523.0,72.0,0,corporate auto,two-door car,345.24,no,basic,2/25/11,employed,urban,single,35.0,21.0,7.0,corporate l2,offer2,web,medsize,
625,north west,m,high school or below,6688.86,57289.0,86.0,0,corporate auto,two-door car,562.22,no,extended,1/10/11,employed,suburban,single,21.0,88.0,3.0,corporate l3,offer3,agent,small,a
626,central,m,master,8471.42,63513.0,70.0,0,personal auto,four-door car,185.67,no,basic,2/1/11,employed,urban,married,13.0,76.0,2.0,personal l3,offer1,branch,small,a
627,central,f,high school or below,21522.95,44695.0,79.0,2,personal auto,two-door car,81.17,no,extended,2/14/11,employed,rural,married,14.0,51.0,2.0,personal l2,offer1,call center,medsize,
628,west region,f,bachelor,2524.65,38144.0,68.0,3,personal auto,two-door car,386.98,no,basic,1/8/11,unemployed,suburban,married,11.0,81.0,1.0,personal l1,offer1,agent,small,
629,north west,f,college,4039.32,34911.0,105.0,1,personal auto,suv,126.78,no,basic,1/13/11,employed,rural,divorced,6.0,31.0,1.0,personal l3,offer4,agent,large,a
630,west region,f,college,11638.9,25370.0,102.0,0,personal auto,sports car,489.6,yes,basic,1/26/11,medical leave,suburban,married,10.0,77.0,2.0,personal l2,offer1,branch,large,
631,east,m,high school or below,12682.25,75203.0,80.0,1,corporate auto,four-door car,384.0,no,extended,1/20/11,employed,suburban,single,0.0,13.0,2.0,corporate l2,offer1,call center,medsize,a
632,central,f,high school or below,16468.22,38144.0,63.0,0,corporate auto,four-door car,685.13,yes,basic,1/27/11,unemployed,suburban,divorced,4.0,52.0,2.0,corporate l3,offer2,agent,medsize,a
633,west region,m,college,8130.65,61036.0,68.0,0,corporate auto,two-door car,413.25,no,basic,1/2/11,employed,suburban,married,2.0,75.0,2.0,corporate l3,offer3,web,medsize,
634,north west,f,college,2600.64,38144.0,74.0,0,personal auto,two-door car,501.47,no,basic,1/13/11,unemployed,suburban,single,19.0,4.0,1.0,personal l2,offer1,call center,medsize,a
635,east,f,high school or below,2514.59,43860.0,65.0,0,personal auto,four-door car,156.12,yes,basic,2/14/11,employed,rural,single,15.0,58.0,1.0,personal l3,offer2,agent,medsize,
636,central,f,master,27643.24,63401.0,113.0,0,personal auto,suv,52.34,no,basic,1/28/11,employed,rural,married,21.0,15.0,2.0,personal l3,offer3,agent,medsize,a
637,north west,m,high school or below,7873.57,38144.0,74.0,0,personal auto,two-door car,568.8,no,basic,1/29/11,unemployed,suburban,single,24.0,82.0,2.0,personal l3,offer1,agent,medsize,a
638,west region,f,high school or below,5163.84,88692.0,64.0,0,personal auto,,253.19,no,basic,2/22/11,employed,urban,married,29.0,26.0,5.0,personal l2,offer1,agent,,
639,north west,f,bachelor,4660.4,89834.0,116.0,0,corporate auto,suv,43.16,no,basic,2/3/11,employed,rural,married,24.0,11.0,1.0,corporate l3,offer1,branch,medsize,a
640,west region,f,high school or below,8742.47,37224.0,74.0,0,personal auto,four-door car,355.2,no,basic,1/2/11,employed,suburban,divorced,8.0,23.0,2.0,personal l2,offer3,agent,small,
641,west region,f,high school or below,23020.89,97460.0,114.0,0,personal auto,suv,660.14,no,basic,1/17/11,employed,suburban,married,20.0,62.0,2.0,personal l3,offer4,branch,medsize,
642,central,m,bachelor,5278.53,32365.0,67.0,0,personal auto,four-door car,193.15,no,basic,1/25/11,employed,urban,married,28.0,78.0,3.0,personal l3,offer1,agent,medsize,a
643,west region,f,college,12232.78,35133.0,102.0,0,personal auto,suv,692.96,no,basic,1/23/11,employed,suburban,married,2.0,31.0,2.0,personal l3,offer1,agent,medsize,
644,central,m,bachelor,16460.08,16869.0,222.0,0,personal auto,luxury suv,1065.6,no,extended,2/9/11,disabled,suburban,divorced,28.0,57.0,3.0,personal l2,offer1,call center,small,a
645,central,m,college,2163.87,38144.0,63.0,0,corporate auto,two-door car,302.4,no,basic,2/7/11,unemployed,suburban,single,0.0,75.0,1.0,corporate l3,offer2,branch,medsize,
646,west region,m,bachelor,2141.98,38144.0,67.0,1,personal auto,four-door car,321.6,no,basic,1/10/11,unemployed,suburban,single,3.0,79.0,1.0,personal l3,offer4,web,medsize,a
647,north west,f,bachelor,13226.22,38144.0,190.0,1,special auto,luxury car,1398.02,no,basic,1/22/11,unemployed,suburban,single,2.0,78.0,4.0,special l3,offer1,call center,medsize,a
648,central,m,college,2647.52,37876.0,69.0,0,personal auto,four-door car,300.06,yes,basic,2/20/11,employed,urban,single,13.0,15.0,1.0,personal l3,offer2,agent,medsize,
649,central,f,bachelor,10179.72,14290.0,271.0,0,personal auto,luxury suv,1300.8,yes,premium,1/5/11,retired,suburban,married,20.0,40.0,1.0,personal l3,offer1,agent,medsize,
650,central,m,bachelor,2478.18,38144.0,71.0,0,corporate auto,four-door car,511.2,no,basic,1/8/11,unemployed,suburban,single,24.0,32.0,1.0,corporate l3,offer2,web,large,
651,west region,f,college,4605.04,22571.0,63.0,0,corporate auto,four-door car,302.4,yes,basic,1/28/11,medical leave,suburban,single,29.0,51.0,9.0,corporate l2,offer2,web,large,
652,west region,f,bachelor,8083.92,31506.0,102.0,0,personal auto,four-door car,601.07,no,premium,2/18/11,employed,suburban,married,23.0,50.0,8.0,personal l1,offer1,web,small,a
653,north west,m,master,14091.19,99823.0,116.0,0,corporate auto,suv,250.18,no,basic,2/25/11,employed,rural,married,2.0,64.0,2.0,corporate l2,offer1,branch,medsize,
654,central,f,college,4349.31,75648.0,108.0,0,corporate auto,suv,112.66,yes,basic,2/10/11,employed,rural,married,28.0,10.0,1.0,corporate l2,offer2,branch,large,
655,north west,m,bachelor,16473.17,22828.0,106.0,0,personal auto,suv,508.8,yes,basic,2/24/11,retired,suburban,married,11.0,54.0,2.0,personal l2,offer1,agent,medsize,a
656,north west,m,college,13283.86,38144.0,132.0,0,personal auto,suv,950.4,no,extended,2/19/11,unemployed,suburban,single,20.0,22.0,2.0,personal l1,offer1,agent,medsize,a
657,west region,m,college,12885.79,37050.0,110.0,1,personal auto,sports car,528.0,no,basic,2/12/11,employed,suburban,married,4.0,75.0,2.0,personal l3,offer1,agent,medsize,
658,nan,m,master,3728.87,83632.0,94.0,4,personal auto,four-door car,216.84,,extended,2/12/11,employed,rural,married,7.0,86.0,1.0,personal l2,offer3,agent,medsize,
659,west region,m,high school or below,4732.22,55385.0,61.0,0,personal auto,four-door car,292.8,no,basic,1/23/11,employed,suburban,single,7.0,22.0,3.0,personal l3,offer1,branch,medsize,a
660,west region,m,bachelor,3123.08,38144.0,101.0,4,personal auto,suv,960.12,yes,basic,2/19/11,unemployed,suburban,married,1.0,83.0,1.0,personal l2,offer1,agent,large,a
661,west region,f,master,4904.46,27593.0,63.0,0,corporate auto,,241.23,no,basic,1/21/11,disabled,urban,married,31.0,78.0,6.0,corporate l3,offer1,agent,,
662,west region,m,college,18677.85,38144.0,86.0,0,personal auto,four-door car,538.65,no,extended,2/17/11,unemployed,suburban,married,17.0,14.0,2.0,personal l2,offer1,agent,medsize,a
663,west region,f,bachelor,2530.71,89451.0,63.0,0,personal auto,four-door car,61.77,yes,basic,1/21/11,employed,rural,single,11.0,2.0,1.0,personal l3,offer2,web,medsize,
664,north west,f,college,4848.9,38144.0,66.0,0,personal auto,four-door car,316.8,no,basic,2/2/11,unemployed,suburban,divorced,11.0,60.0,3.0,personal l1,offer3,call center,small,a
665,east,m,high school or below,5568.95,38144.0,79.0,1,personal auto,two-door car,407.44,yes,extended,1/1/11,unemployed,suburban,single,21.0,53.0,7.0,personal l2,offer1,agent,medsize,a
666,north west,f,high school or below,7437.51,88360.0,185.0,0,personal auto,luxury car,929.96,no,basic,2/23/11,employed,suburban,divorced,2.0,73.0,1.0,personal l2,offer1,call center,large,
667,north west,f,bachelor,7452.23,38144.0,105.0,0,corporate auto,two-door car,504.0,no,premium,2/17/11,unemployed,suburban,single,27.0,42.0,4.0,corporate l1,offer1,branch,medsize,a
668,central,f,master,2725.36,36650.0,69.0,1,personal auto,four-door car,56.6,yes,basic,1/3/11,employed,rural,married,2.0,70.0,1.0,personal l1,offer2,web,large,a
669,east,f,college,4373.36,25676.0,113.0,0,personal auto,two-door car,542.4,no,premium,1/6/11,disabled,suburban,married,6.0,84.0,1.0,personal l3,offer3,web,medsize,a
670,west region,f,bachelor,7583.14,44667.0,65.0,0,personal auto,four-door car,245.66,no,basic,1/2/11,employed,urban,single,25.0,53.0,2.0,personal l2,offer1,web,medsize,a
671,west region,m,high school or below,17253.73,38144.0,124.0,0,personal auto,sports car,928.82,no,extended,2/19/11,unemployed,suburban,single,2.0,85.0,2.0,personal l1,offer3,web,medsize,a
672,west region,m,master,4210.1,21885.0,108.0,0,corporate auto,suv,52.34,no,basic,2/22/11,employed,rural,single,7.0,29.0,1.0,corporate l2,offer3,agent,large,a
673,central,m,college,2821.1,70047.0,71.0,0,personal auto,two-door car,107.71,no,basic,2/15/11,employed,rural,married,6.0,37.0,1.0,personal l1,offer2,web,medsize,
674,west region,f,college,9051.91,26308.0,114.0,0,corporate auto,suv,547.2,no,basic,2/3/11,employed,suburban,married,10.0,30.0,3.0,corporate l3,offer3,web,medsize,a
675,nan,m,doctor,4685.5,77678.0,116.0,0,personal auto,two-door car,741.42,,premium,1/5/11,employed,suburban,married,32.0,81.0,1.0,personal l2,offer1,call center,small,a
676,central,m,master,8849.69,53228.0,73.0,0,special auto,four-door car,137.2,no,basic,2/3/11,employed,rural,married,26.0,33.0,2.0,special l1,offer2,branch,medsize,a
677,central,f,bachelor,2479.92,31678.0,63.0,0,personal auto,two-door car,76.63,no,basic,1/14/11,employed,rural,married,7.0,3.0,1.0,personal l2,offer2,branch,medsize,
678,central,f,master,2445.84,22732.0,62.0,0,personal auto,four-door car,15.62,no,basic,1/14/11,disabled,rural,married,31.0,35.0,1.0,personal l1,offer3,branch,medsize,
679,central,m,college,8378.36,40994.0,106.0,0,personal auto,,60.23,no,premium,2/12/11,employed,rural,married,8.0,94.0,8.0,personal l2,offer2,agent,,
680,north west,m,college,2647.52,37876.0,69.0,0,corporate auto,four-door car,300.06,yes,basic,2/20/11,employed,urban,single,13.0,15.0,1.0,corporate l2,offer2,agent,medsize,a
681,north west,f,college,6494.24,15300.0,85.0,0,personal auto,four-door car,408.0,no,extended,1/26/11,medical leave,suburban,married,17.0,16.0,9.0,personal l2,offer3,call center,small,a
682,east,f,master,3221.79,77882.0,79.0,0,personal auto,four-door car,379.2,no,extended,2/28/11,employed,suburban,married,17.0,36.0,1.0,personal l3,offer3,web,small,a
683,north west,f,college,8007.35,65473.0,67.0,0,personal auto,four-door car,277.69,no,basic,1/24/11,employed,urban,married,4.0,14.0,2.0,personal l1,offer2,call center,medsize,
684,north west,f,master,3554.85,58557.0,88.0,0,corporate auto,four-door car,55.51,yes,extended,1/10/11,employed,rural,married,4.0,83.0,1.0,corporate l2,offer1,branch,large,a
685,north west,m,high school or below,6503.14,38144.0,187.0,0,personal auto,luxury car,1588.68,no,basic,2/4/11,unemployed,suburban,single,6.0,12.0,1.0,personal l2,offer2,web,medsize,
686,west region,m,college,2776.84,23830.0,76.0,1,corporate auto,two-door car,364.8,no,extended,2/4/11,medical leave,suburban,married,24.0,22.0,1.0,corporate l3,offer4,web,medsize,a
687,north west,m,high school or below,7484.31,46998.0,96.0,0,corporate auto,four-door car,460.8,no,extended,1/20/11,employed,suburban,divorced,13.0,98.0,6.0,corporate l3,offer3,agent,medsize,a
688,central,f,bachelor,5011.75,28859.0,67.0,3,corporate auto,two-door car,321.6,no,basic,1/9/11,employed,suburban,divorced,24.0,51.0,4.0,corporate l2,offer1,call center,medsize,
689,east,m,master,8106.22,81580.0,101.0,0,personal auto,suv,633.44,no,basic,2/25/11,employed,suburban,divorced,2.0,56.0,6.0,personal l3,offer2,web,medsize,a
690,north west,f,high school or below,6514.43,77135.0,84.0,3,personal auto,four-door car,98.37,no,extended,2/16/11,employed,rural,divorced,3.0,37.0,8.0,personal l3,offer2,web,medsize,a
691,east,m,high school or below,5169.5,12430.0,73.0,0,special auto,four-door car,350.4,yes,basic,2/26/11,medical leave,suburban,single,22.0,13.0,4.0,special l2,offer2,call center,medsize,
692,nan,f,high school or below,18939.51,21911.0,67.0,0,corporate auto,four-door car,705.42,,basic,1/20/11,employed,suburban,married,16.0,34.0,2.0,corporate l3,offer2,agent,small,a
693,central,f,bachelor,5866.42,26608.0,73.0,0,personal auto,two-door car,234.23,no,basic,1/15/11,employed,urban,married,12.0,14.0,6.0,personal l2,offer3,agent,medsize,
694,north west,m,bachelor,4224.83,38144.0,63.0,0,personal auto,four-door car,453.6,no,basic,1/25/11,unemployed,suburban,single,9.0,88.0,8.0,personal l3,offer1,call center,medsize,
695,west region,f,bachelor,7379.46,61584.0,61.0,0,corporate auto,four-door car,205.29,no,basic,1/21/11,employed,urban,married,18.0,93.0,2.0,corporate l2,offer1,agent,medsize,a
696,west region,f,high school or below,2688.86,32808.0,68.0,1,personal auto,four-door car,541.7,no,basic,1/29/11,employed,suburban,married,1.0,88.0,1.0,personal l3,offer3,branch,small,a
697,north west,f,bachelor,2202.34,38144.0,61.0,1,personal auto,two-door car,292.8,no,basic,1/22/11,unemployed,suburban,married,2.0,34.0,1.0,personal l3,offer1,call center,medsize,
698,west region,f,college,8002.31,38144.0,107.0,0,corporate auto,suv,513.6,yes,basic,1/11/11,unemployed,suburban,married,3.0,65.0,3.0,corporate l3,offer1,agent,medsize,a
699,west region,f,college,4236.3,25866.0,109.0,0,personal auto,four-door car,523.2,no,premium,2/2/11,medical leave,suburban,married,20.0,56.0,1.0,personal l2,offer1,agent,small,a
700,central,f,college,2430.48,33775.0,61.0,0,personal auto,two-door car,292.8,no,basic,1/23/11,employed,suburban,married,24.0,95.0,1.0,personal l2,offer1,agent,medsize,a
701,north west,f,bachelor,3113.34,85586.0,77.0,0,personal auto,two-door car,13.44,no,extended,2/3/11,employed,rural,married,11.0,55.0,1.0,personal l3,offer4,call center,medsize,a
702,east,f,bachelor,4900.34,38144.0,66.0,0,personal auto,four-door car,316.8,no,basic,2/27/11,unemployed,suburban,married,35.0,75.0,4.0,personal l3,offer2,agent,small,
703,central,f,doctor,5332.46,68931.0,66.0,0,corporate auto,four-door car,309.58,yes,basic,2/22/11,employed,urban,married,32.0,30.0,7.0,corporate l3,offer2,branch,medsize,a
704,central,f,college,5889.51,62007.0,73.0,0,personal auto,four-door car,120.02,no,basic,2/24/11,employed,rural,married,4.0,7.0,3.0,personal l3,offer2,agent,medsize,
705,north west,f,bachelor,2263.28,38144.0,62.0,0,corporate auto,four-door car,389.75,no,basic,1/19/11,unemployed,suburban,married,25.0,15.0,1.0,corporate l3,offer4,agent,medsize,
706,nan,m,bachelor,13211.01,74656.0,111.0,0,personal auto,,504.37,,premium,1/31/11,employed,urban,divorced,0.0,6.0,2.0,personal l2,offer3,call center,,a
707,north west,m,high school or below,13156.75,72517.0,82.0,0,personal auto,two-door car,371.46,no,extended,2/28/11,employed,urban,married,33.0,27.0,2.0,personal l3,offer2,web,medsize,
708,north west,m,bachelor,2435.25,38144.0,72.0,0,personal auto,,345.6,no,basic,1/23/11,unemployed,suburban,divorced,28.0,64.0,1.0,personal l3,offer4,web,,
709,north west,f,college,3808.12,94903.0,94.0,0,special auto,two-door car,451.2,yes,extended,1/28/11,employed,suburban,married,3.0,38.0,1.0,special l3,offer2,agent,small,a
710,west region,m,college,3309.25,85632.0,82.0,0,personal auto,two-door car,7.26,no,extended,1/10/11,employed,rural,married,23.0,4.0,1.0,personal l3,offer2,call center,medsize,
711,west region,m,college,4738.99,38144.0,67.0,0,personal auto,four-door car,482.4,no,basic,2/21/11,unemployed,suburban,single,23.0,5.0,3.0,personal l3,offer1,agent,small,a
712,west region,m,high school or below,7164.01,38144.0,108.0,0,corporate auto,suv,1260.46,no,basic,2/10/11,unemployed,suburban,single,19.0,97.0,9.0,corporate l3,offer1,agent,large,a
713,central,f,high school or below,4423.69,38144.0,125.0,0,personal auto,suv,900.0,no,extended,2/11/11,unemployed,suburban,single,8.0,55.0,1.0,personal l2,offer3,agent,medsize,a
714,north west,f,master,4582.67,69085.0,113.0,0,corporate auto,sports car,472.27,no,basic,1/28/11,employed,urban,married,10.0,14.0,1.0,corporate l3,offer1,web,medsize,a
715,north west,f,bachelor,9421.1,23059.0,126.0,0,corporate auto,sports car,95.85,no,extended,1/8/11,disabled,rural,divorced,30.0,66.0,3.0,corporate l3,offer3,branch,medsize,
716,nan,m,college,8906.99,58718.0,226.0,0,personal auto,luxury car,1084.8,,extended,1/10/11,employed,suburban,single,11.0,0.0,1.0,personal l3,offer1,agent,medsize,a
717,west region,m,doctor,8750.64,59047.0,76.0,3,personal auto,four-door car,364.8,no,extended,1/21/11,employed,suburban,divorced,2.0,73.0,2.0,personal l3,offer1,web,medsize,
718,north west,f,high school or below,2746.12,96339.0,68.0,0,corporate auto,four-door car,293.21,no,basic,1/6/11,employed,urban,married,1.0,44.0,1.0,corporate l1,offer2,branch,medsize,
719,west region,f,bachelor,3350.69,94395.0,83.0,0,personal auto,four-door car,582.69,no,extended,1/7/11,employed,suburban,married,23.0,1.0,1.0,personal l1,offer2,web,medsize,
720,north west,m,high school or below,10552.43,28505.0,88.0,0,personal auto,four-door car,422.4,no,extended,1/24/11,employed,suburban,married,0.0,93.0,2.0,personal l2,offer4,agent,large,
721,central,m,high school or below,7519.13,96306.0,95.0,1,personal auto,four-door car,185.36,yes,extended,2/20/11,employed,rural,divorced,12.0,17.0,6.0,personal l3,offer1,agent,medsize,a
722,west region,f,college,5184.95,49312.0,65.0,1,corporate auto,four-door car,230.1,no,basic,1/16/11,employed,urban,married,30.0,55.0,4.0,corporate l1,offer1,branch,medsize,a
723,north west,m,high school or below,4764.86,78757.0,119.0,3,personal auto,sports car,383.8,no,basic,1/15/11,employed,urban,married,8.0,56.0,1.0,personal l2,offer4,agent,medsize,a
724,west region,f,high school or below,2429.6,23941.0,61.0,0,corporate auto,four-door car,292.8,no,basic,1/28/11,employed,suburban,married,12.0,1.0,1.0,corporate l2,offer3,agent,medsize,
725,west region,m,bachelor,3954.34,18375.0,103.0,0,personal auto,,535.08,yes,basic,2/25/11,disabled,suburban,married,8.0,50.0,1.0,personal l2,offer1,branch,,
726,east,f,high school or below,13770.98,59207.0,116.0,0,personal auto,four-door car,556.8,yes,premium,2/1/11,employed,suburban,single,23.0,21.0,2.0,personal l2,offer1,agent,medsize,a
727,west region,m,college,12465.92,33604.0,105.0,0,personal auto,suv,357.62,no,basic,1/15/11,employed,urban,married,5.0,80.0,2.0,personal l3,offer1,branch,medsize,a
728,nan,m,college,8607.48,38144.0,118.0,0,personal auto,four-door car,566.4,,premium,2/11/11,unemployed,suburban,married,30.0,52.0,7.0,personal l2,offer1,web,medsize,a
729,central,m,high school or below,4242.69,38144.0,61.0,0,personal auto,four-door car,439.2,no,basic,2/16/11,unemployed,suburban,single,5.0,51.0,7.0,personal l2,offer3,call center,medsize,a
730,north west,m,high school or below,4892.44,21709.0,62.0,0,personal auto,four-door car,408.37,no,basic,2/18/11,employed,suburban,married,28.0,17.0,3.0,personal l2,offer2,branch,large,a
731,east,f,college,4700.01,11417.0,63.0,0,personal auto,two-door car,302.4,no,basic,2/10/11,disabled,suburban,married,25.0,57.0,6.0,personal l3,offer2,agent,small,
732,central,f,high school or below,10796.45,30761.0,69.0,2,special auto,two-door car,331.2,no,basic,1/9/11,employed,suburban,divorced,16.0,16.0,2.0,special l3,offer1,branch,small,a
733,north west,m,high school or below,10408.97,20228.0,101.0,1,personal auto,suv,523.82,yes,basic,2/18/11,retired,suburban,divorced,3.0,43.0,2.0,personal l3,offer1,branch,medsize,
734,north west,f,doctor,12819.1,10105.0,172.0,3,personal auto,suv,0.52,no,premium,1/25/11,disabled,rural,married,5.0,4.0,3.0,personal l2,offer1,branch,medsize,
735,east,m,high school or below,21892.35,78337.0,62.0,2,corporate auto,two-door car,36.29,no,basic,2/27/11,employed,rural,divorced,2.0,88.0,2.0,corporate l3,offer1,branch,medsize,
736,west region,m,bachelor,3164.38,38144.0,92.0,1,personal auto,two-door car,662.4,no,extended,1/29/11,unemployed,suburban,single,33.0,41.0,1.0,personal l1,offer1,agent,medsize,
737,east,f,master,4177.67,29133.0,104.0,0,personal auto,sports car,499.2,no,basic,2/17/11,employed,suburban,married,27.0,76.0,1.0,personal l1,offer2,branch,medsize,a
738,central,f,master,13778.37,91474.0,113.0,0,corporate auto,two-door car,24.09,no,premium,1/4/11,employed,rural,married,9.0,99.0,2.0,corporate l3,offer3,branch,large,a
739,central,f,college,7706.96,38144.0,73.0,0,personal auto,four-door car,350.4,no,basic,2/12/11,unemployed,suburban,single,3.0,33.0,2.0,personal l1,offer1,branch,medsize,
740,west region,f,college,5263.92,82528.0,131.0,0,personal auto,sports car,258.04,no,extended,1/14/11,employed,rural,married,10.0,65.0,1.0,personal l1,offer2,agent,small,
741,west region,m,college,8334.36,38144.0,136.0,2,personal auto,suv,979.2,no,extended,2/21/11,unemployed,suburban,single,7.0,61.0,3.0,personal l3,offer3,web,medsize,a
742,central,f,bachelor,9112.04,25198.0,118.0,0,personal auto,suv,566.4,no,basic,1/17/11,disabled,suburban,married,26.0,36.0,4.0,personal l3,offer3,call center,small,
743,central,m,high school or below,7243.87,41951.0,91.0,0,personal auto,four-door car,40.54,no,extended,1/11/11,employed,rural,married,30.0,56.0,7.0,personal l1,offer1,branch,medsize,
744,west region,f,high school or below,7501.66,38874.0,94.0,0,corporate auto,four-door car,331.17,no,extended,2/23/11,employed,urban,divorced,6.0,86.0,3.0,corporate l1,offer2,branch,medsize,a
745,central,m,master,17420.57,31737.0,218.0,0,personal auto,luxury suv,1046.4,no,extended,2/14/11,employed,suburban,married,17.0,2.0,3.0,personal l2,offer1,agent,medsize,
746,nan,f,bachelor,5010.38,64014.0,63.0,0,corporate auto,four-door car,295.87,,basic,1/19/11,employed,urban,single,26.0,27.0,7.0,corporate l3,offer1,agent,large,a
747,north west,m,master,22118.81,58645.0,110.0,0,personal auto,suv,427.72,no,basic,2/17/11,employed,urban,married,15.0,44.0,2.0,personal l2,offer2,agent,medsize,a
748,west region,m,bachelor,40440.76,38144.0,129.0,0,personal auto,suv,1191.32,no,extended,2/15/11,unemployed,suburban,single,23.0,59.0,2.0,personal l3,offer1,call center,medsize,
749,north west,f,college,15417.68,69841.0,192.0,0,personal auto,luxury suv,878.81,no,basic,1/3/11,employed,urban,married,0.0,66.0,7.0,personal l3,offer1,branch,medsize,a
750,north west,f,bachelor,2816.76,66023.0,70.0,0,personal auto,two-door car,265.63,no,basic,2/3/11,employed,urban,married,11.0,94.0,1.0,personal l3,offer1,branch,medsize,a
751,west region,m,bachelor,2434.09,38144.0,68.0,0,personal auto,four-door car,271.49,no,basic,2/18/11,unemployed,urban,married,28.0,65.0,1.0,personal l2,offer3,branch,medsize,
752,west region,f,college,11638.9,25370.0,102.0,0,corporate auto,sports car,489.6,yes,basic,1/26/11,medical leave,suburban,married,10.0,77.0,2.0,corporate l3,offer1,branch,large,
753,west region,f,master,6005.03,23749.0,77.0,0,personal auto,four-door car,151.55,no,extended,2/8/11,medical leave,rural,married,20.0,6.0,4.0,personal l2,offer1,agent,medsize,a
754,nan,m,college,13727.8,38144.0,126.0,0,personal auto,suv,604.8,,extended,1/8/11,unemployed,suburban,single,12.0,4.0,2.0,personal l3,offer1,agent,medsize,a
755,north west,m,bachelor,2538.63,18608.0,71.0,0,corporate auto,four-door car,340.8,yes,basic,2/17/11,retired,suburban,divorced,13.0,24.0,1.0,corporate l3,offer2,web,medsize,
756,nan,f,bachelor,4582.9,66991.0,115.0,0,personal auto,suv,399.62,,basic,1/18/11,employed,urban,married,1.0,71.0,1.0,personal l3,offer2,branch,medsize,a
757,north west,m,college,4502.41,38144.0,67.0,0,personal auto,two-door car,499.59,no,basic,1/30/11,unemployed,suburban,single,15.0,4.0,4.0,personal l3,offer2,branch,medsize,
758,central,m,master,2404.63,22239.0,62.0,0,personal auto,four-door car,297.6,no,basic,2/26/11,disabled,suburban,married,34.0,85.0,1.0,personal l3,offer2,branch,small,a
759,north west,m,high school or below,4772.94,20993.0,133.0,0,corporate auto,suv,638.4,yes,extended,2/18/11,retired,suburban,divorced,35.0,90.0,1.0,corporate l3,offer2,agent,medsize,a
760,east,m,college,3297.9,38144.0,91.0,0,personal auto,two-door car,655.2,no,extended,1/5/11,unemployed,suburban,single,3.0,78.0,1.0,personal l3,offer1,branch,medsize,
761,central,m,high school or below,3034.8,79253.0,76.0,0,corporate auto,two-door car,254.98,no,extended,1/5/11,employed,urban,married,23.0,7.0,1.0,corporate l3,offer4,agent,medsize,
762,east,f,college,4946.96,46239.0,67.0,3,personal auto,four-door car,6.4,no,basic,2/21/11,employed,rural,single,17.0,1.0,4.0,personal l3,offer3,web,medsize,
763,north west,f,college,5316.61,21299.0,69.0,0,corporate auto,four-door car,331.2,no,basic,2/4/11,disabled,suburban,married,0.0,1.0,9.0,corporate l2,offer3,branch,medsize,a
764,west region,f,high school or below,9333.08,38144.0,129.0,0,corporate auto,sports car,928.8,no,extended,1/28/11,unemployed,suburban,single,33.0,14.0,3.0,corporate l2,offer1,agent,medsize,
765,central,m,bachelor,4967.04,38144.0,73.0,0,corporate auto,four-door car,359.35,no,basic,1/29/11,unemployed,suburban,divorced,34.0,2.0,4.0,corporate l3,offer2,branch,small,a
766,west region,m,high school or below,6277.01,38144.0,88.0,0,personal auto,four-door car,633.6,no,extended,2/18/11,unemployed,suburban,single,30.0,19.0,4.0,personal l3,offer1,web,medsize,
767,central,m,college,5248.98,38144.0,72.0,0,personal auto,four-door car,216.7,no,basic,2/8/11,unemployed,urban,married,0.0,45.0,4.0,personal l3,offer4,web,medsize,
768,west region,m,high school or below,8819.02,99845.0,110.0,1,personal auto,,528.0,yes,basic,1/10/11,employed,suburban,married,23.0,25.0,8.0,personal l3,offer2,branch,,
769,east,m,high school or below,8564.77,95697.0,107.0,0,personal auto,sports car,178.01,yes,basic,2/17/11,employed,rural,married,29.0,29.0,9.0,personal l3,offer2,agent,medsize,a
770,central,f,college,5768.09,35091.0,74.0,0,corporate auto,two-door car,418.93,no,basic,1/1/11,employed,suburban,divorced,27.0,19.0,9.0,corporate l1,offer1,branch,medsize,
771,west region,m,high school or below,3472.37,38144.0,102.0,0,personal auto,four-door car,976.11,no,premium,1/1/11,unemployed,suburban,single,25.0,48.0,1.0,personal l3,offer2,agent,medsize,
772,west region,f,high school or below,15002.6,19245.0,84.0,1,personal auto,,604.8,no,extended,1/19/11,disabled,suburban,single,5.0,61.0,2.0,personal l3,offer2,agent,,a
773,west region,m,college,2617.7,14151.0,72.0,1,personal auto,four-door car,345.6,no,basic,1/19/11,medical leave,suburban,single,5.0,41.0,1.0,personal l2,offer2,branch,medsize,a
774,north west,f,college,10484.92,61108.0,89.0,0,personal auto,four-door car,49.45,yes,extended,2/1/11,employed,rural,divorced,22.0,93.0,2.0,personal l3,offer2,agent,medsize,a
775,north west,m,bachelor,7521.28,38144.0,115.0,0,personal auto,suv,987.29,no,basic,2/13/11,unemployed,suburban,single,33.0,0.0,3.0,personal l3,offer1,branch,medsize,a
